species_code,order,family,scientific_name,common_name,raptor_group
0360,Galliformes,Phasianidae,Dendragapus obscurus obscurus,Blue Grouse (obscurus subspecies),N/A
0361,Galliformes,Phasianidae,Dendragapus obscurus oreinus,Blue Grouse (oreinus subspecies),N/A
0362,Anseriformes,Anatidae,Dendrocygna autumnalis,Black-Bellied Whistling-Duck,N/A
0363,Anseriformes,Anatidae,Dendrocygna bicolor,Fulvous Whistling-Duck,N/A
0364,Passeriformes,Parulidae,Dendroica aestiva brewsteri,California Yellow Warbler,N/A
0365,Passeriformes,Parulidae,Dendroica auduboni,"Audubon's Warbler, Yellow-Rumped Warbler",N/A
0366,Passeriformes,Parulidae,Dendroica caerulescens,Black-Throated Blue Warbler,N/A
0367,Passeriformes,Parulidae,Dendroica castanea,Bay-Breasted Warbler,N/A
0368,Passeriformes,Parulidae,Dendroica cerulea,Cerulean Warbler,N/A
0369,Passeriformes,Parulidae,Dendroica chrysoparia,Golden-Cheeked Warbler,N/A
0370,Passeriformes,Parulidae,Dendroica coronata,Yellow-Rumped Warbler,N/A
0371,Passeriformes,Parulidae,Dendroica coronata auduboni,Yellow-Rumped Warbler (Audubon's Subspecies),N/A
0372,Passeriformes,Parulidae,Dendroica coronata coronata,Yellow-Rumped Warbler (Myrtle),N/A
0373,Passeriformes,Parulidae,Dendroica coronata memorabilis,Yellow-Rumped Warbler (memorabilis subspecies),N/A
0374,Passeriformes,Parulidae,Dendroica discolor,Prairie Warbler,N/A
0375,Passeriformes,Parulidae,Dendroica discolor discolor,Prairie Warbler (discolor subspecies),N/A
0376,Passeriformes,Parulidae,Dendroica discolor paludicola,Prairie Warbler (paludicola subspecies),N/A
0377,Passeriformes,Parulidae,Dendroica dominica,Yellow-Throated Warbler,N/A
0378,Passeriformes,Parulidae,Dendroica fusca,Blackburnian Warbler,N/A
0379,Passeriformes,Parulidae,Dendroica graciae,Grace's Warbler,N/A
0380,Passeriformes,Parulidae,Dendroica kirtlandii,Kirtland's Warbler,N/A
0381,Passeriformes,Parulidae,Dendroica magnolia,Magnolia Warbler,N/A
0382,Passeriformes,Parulidae,Dendroica nigrescens,Black-Throated Gray Warbler,N/A
0383,Passeriformes,Parulidae,Dendroica occidentalis,Hermit Warbler,N/A
0384,Passeriformes,Parulidae,Dendroica palmarum,Palm Warbler,N/A
0385,Passeriformes,Parulidae,Dendroica pensylvanica,Chestnut-Sided Warbler,N/A
0386,Passeriformes,Parulidae,Dendroica petechia,Yellow Warbler,N/A
0387,Passeriformes,Parulidae,Dendroica petechia aestiva,Yellow Warbler (aestiva subspecies),N/A
0388,Passeriformes,Parulidae,Dendroica pinus,Pine Warbler,N/A
0389,Passeriformes,Parulidae,Dendroica pinus pinus,Pine Warbler (pinus subspecies),N/A
0390,Passeriformes,Parulidae,Dendroica striata,Blackpoll Warbler,N/A
0391,Passeriformes,Parulidae,Dendroica tigrina,Cape May Warbler,N/A
0392,Passeriformes,Parulidae,Dendroica townsendi,Townsend's Warbler,N/A
0393,Passeriformes,Parulidae,Dendroica virens,Black-Throated Green Warbler,N/A
0394,Passeriformes,Parulidae,Dendroica virens virens,Black-Throated Green Warbler (virens subspecies),N/A
0395,Procellariiformes,Diomedeidae,Diomedea chlororhynchos,Yellow-Nosed Albatross,N/A
0396,Procellariiformes,Diomedeidae,Diomedea immutabilis,Laysan Albatross,N/A
0397,Passeriformes,Icteridae,Dolichonyx oryzivorus,Bobolink,N/A
0398,Passeriformes,Fringillidae,Drepanis coccinea,'I'Iwi,N/A
0399,Passeriformes,Fringillidae,Drepanis pacifica,HawaiʻI Mamo,N/A
0400,Piciformes,Picidae,Dryocopus pileatus,Pileated Woodpecker,N/A
0401,Piciformes,Picidae,Dryocopus pileatus abieticola,Pileated Woodpecker (abieticola subspecies),N/A
0402,Passeriformes,Mimidae,Dumetella carolinensis,Gray Catbird,N/A
0403,Columbiformes,Columbidae,Ectopistes migratorius,Passenger Pigeon,N/A
0404,Pelecaniformes,Ardeidae,Egretta caerulea,Little Blue Heron,N/A
0405,Pelecaniformes,Ardeidae,Egretta rufescens,Reddish Egret,N/A
0406,Pelecaniformes,Ardeidae,Egretta thula,Snowy Egret,N/A
0407,Pelecaniformes,Ardeidae,Egretta tricolor,Tricolored Heron,N/A
0408,Accipitriformes,Accipitridae,Elanoides forficatus,Swallow-Tailed Kite,Kite
0409,Accipitriformes,Accipitridae,Elanoides forficatus forficatus,Swallow-Tailed Kite (forficatus subspecies),Kite
0410,Accipitriformes,Accipitridae,Elanus leucurus,White-Tailed Kite,Kite
0411,Passeriformes,Emberizidae,Emberiza rustica,Rustic Bunting,N/A
0412,Passeriformes,Tyrannidae,Empidonax alnorum,Alder Flycatcher,N/A
0413,Passeriformes,Tyrannidae,Empidonax difficilis,Pacific-Slope Flycatcher,N/A
0414,Passeriformes,Tyrannidae,Empidonax difficilis difficilis,Pacific-Slope Flycatcher (difficilis subspecies),N/A
0415,Passeriformes,Tyrannidae,Empidonax flaviventris,Yellow-Bellied Flycatcher,N/A
0416,Passeriformes,Tyrannidae,Empidonax fulvifrons,Buff-Breasted Flycatcher,N/A
0417,Passeriformes,Tyrannidae,Empidonax hammondii,Hammond's Flycatcher,N/A
0418,Passeriformes,Tyrannidae,Empidonax minimus,Least Flycatcher,N/A
0419,Passeriformes,Tyrannidae,Empidonax oberholseri,Dusky Flycatcher,N/A
0420,Passeriformes,Tyrannidae,Empidonax occidentalis,Cordilleran Flycatcher,N/A
0421,Passeriformes,Tyrannidae,Empidonax occidentalis hellmayri,Cordilleran Flycatcher (hellmayri subspecies),N/A
0422,Passeriformes,Tyrannidae,Empidonax traillii,Willow Flycatcher,N/A
0423,Passeriformes,Tyrannidae,Empidonax traillii brewsteri,Willow Flycatcher (brewsteri subspecies),N/A
0424,Passeriformes,Tyrannidae,Empidonax traillii extimus,Willow Flycatcher (extimus subspecies),N/A
0425,Passeriformes,Tyrannidae,Empidonax virescens,Acadian Flycatcher,N/A
0426,Passeriformes,Tyrannidae,Empidonax wrightii,Gray Flycatcher,N/A
0427,Passeriformes,Alaudidae,Eremophila alpestris,Horned Lark,N/A
0428,Passeriformes,Alaudidae,Eremophila alpestris alpina,Horned Lark (alpina subspecies),N/A
0429,Passeriformes,Alaudidae,Eremophila alpestris enthymia,Horned Lark (enthymia subspecies),N/A
0430,Passeriformes,Alaudidae,Eremophila alpestris leucolaema,Horned Lark (leucolaema subspecies),N/A
0431,Passeriformes,Alaudidae,Eremophila alpestris merrilli,Horned Lark (merrilli subspecies),N/A
0432,Passeriformes,Alaudidae,Eremophila alpestris occidentalis,Horned Lark (occidentalis subspecies),N/A
0433,Passeriformes,Alaudidae,Eremophila alpestris praticola,Horned Lark (praticola subspecies),N/A
0434,Passeriformes,Estrildidae,Estrilda astrild,Common Waxbill,N/A
0435,Passeriformes,Estrildidae,Estrilda caerulescens,Lavender Waxbill,N/A
0436,Pelecaniformes,Threskiornithidae,Eudocimus albus,White Ibis,N/A
0437,Pelecaniformes,Threskiornithidae,Eudocimus ruber,Scarlet Ibis,N/A
