,species_id,park_code,park_name,order,family,scientific_name,common_names,record_status,occurrence,nativeness,abundance,seasonality,conservation_status,is_protected
191,ACAD-1191,ACAD,Acadia,Galliformes,Phasianidae,Falcipennis canadensis,"Canada Grouse, Canada Spruce Grouse, Haith Hen, Heath Hen, Spruce Grouse, Spruce Partridge",Approved,Present,Native,Rare,Breeder,Least Concern,False
192,ACAD-1192,ACAD,Acadia,Galliformes,Phasianidae,Meleagris gallopavo,"Eastern Turkey, Wild Turkey",Approved,Not Confirmed,Not Native,Unknown,Unknown,Least Concern,False
193,ACAD-1193,ACAD,Acadia,Galliformes,Phasianidae,Perdix perdix,"Common Partridge, European Gray Partridge, European Partridge, Gray Partridge",Approved,Not Present (Historical Report),Not Native,Unknown,Unknown,Least Concern,False
194,ACAD-1194,ACAD,Acadia,Galliformes,Phasianidae,Phasianus colchicus,"Pheasant, Ring-Necked Pheasant",Approved,Not Confirmed,Not Native,Unknown,Unknown,Least Concern,False
196,ACAD-1196,ACAD,Acadia,Gaviiformes,Gaviidae,Gavia immer,"Common Loon, Greater Common Loon",Approved,Present,Native,Common,Breeder,Species of Concern,True
197,ACAD-1197,ACAD,Acadia,Gaviiformes,Gaviidae,Gavia pacifica,Pacific Loon,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Least Concern,False
198,ACAD-1198,ACAD,Acadia,Gaviiformes,Gaviidae,Gavia stellata,Red-Throated Loon,Approved,Not Confirmed,Native,Unknown,Resident,Least Concern,False
199,ACAD-1199,ACAD,Acadia,Gruiformes,Gruidae,Grus canadensis,Sandhill Crane,Approved,Not Confirmed,Not Native,Unknown,Vagrant,Least Concern,False
200,ACAD-1200,ACAD,Acadia,Gruiformes,Rallidae,Fulica americana,"American Coot, Northern American Coot",Approved,Present,Not Native,Unknown,Vagrant,Least Concern,False
201,ACAD-1201,ACAD,Acadia,Gruiformes,Rallidae,Gallinula chloropus,"Common Gallinule, Common Moorhen, Florida Gallinule",Approved,Present,Native,Occasional,Resident,Least Concern,False
203,ACAD-1203,ACAD,Acadia,Gruiformes,Rallidae,Porzana carolina,"Sora Rail, Sora",Approved,Present,Native,Common,Unknown,Least Concern,False
204,ACAD-1204,ACAD,Acadia,Gruiformes,Rallidae,Rallus elegans,"King Rail, Northern King Rail",Approved,Not Confirmed,Not Native,Unknown,Vagrant,Species of Concern,True
205,ACAD-1205,ACAD,Acadia,Gruiformes,Rallidae,Rallus limicola,"Northern Virginia Rail, Virginia Rail",Approved,Present,Native,Rare,Breeder,Least Concern,False
206,ACAD-1206,ACAD,Acadia,Gruiformes,Rallidae,Rallus longirostris,"Clapper Rail, Northern Clapper Rail",Approved,Not Present (Historical Report),Not Native,Unknown,Vagrant,Species of Concern,True
209,ACAD-1209,ACAD,Acadia,Passeriformes,Bombycillidae,Bombycilla garrulus,"Bohemian Waxwing, Greater Waxwing",Approved,Present,Native,Unknown,Resident,Least Concern,False
